Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
98;0.33533239353599686;Jaylen Brown;Unrestricted Free Agent;59;2100.4;1510.4;138.768;417.13;314.47;75.52;21.24;187.03;0.47;1192.39;0.75;336.3;1.8323668509660218;1.026664446259643;1.2984840166200962;0.9942482489840075;1.0906302386190152;-0.1861500954339048;-1.8598057592624762;-0.01789665531396589;-1.160549749614465
99;0.33495902533039545;Herbert Jones;;73;2365.2;751.9000000000001;70.8246;292.72999999999996;227.03;128.48;41.61;125.56;0.45;617.58;0.86;148.92000000000002;0.30152281540568104;0.0028017840454864686;0.6556303765168215;0.32143344263673873;2.821633023468601;0.49878115495259817;-0.8555401736733103;-0.45905186013303845;-0.2725793352460192
100;0.32321079402906006;Shaedon Sharpe;;66;2138.4;1551;175.032;345.18;217.14000000000001;63.36;13.86;144.54;0.48;1204.5;0.77;292.38;1.9143078764686583;1.5731392411997576;0.5829196891812615;0.6051081740910335;0.6931794481399561;-0.4342989725989706;-1.1656257571202333;0.37698978330027;-1.236822336400192
101;0.32058149820267023;Luguentz Dort;Unrestricted Free Agent;74;2183;688.2;170.79199999999997;290.08;107.3;79.92;37;60.68;0.42;586.08;0.73;39.96;0.17296017194464772;1.5092452104655278;-0.22461740858799387;0.3071009728873798;1.2344446693844644;0.3437721679971844;0.2044362569924629;-1.015754737123337;0.35364617986369595
102;0.31856245768126623;Tobias Harris;Unrestricted Free Agent;69;2042.4;883.2;93.6468;351.21;141.45;64.86;50.37;77.28;0.47;697.5899999999999;0.87;146.28;0.5665192845804637;0.34671743221122325;0.02645134495188285;0.6377213033697635;0.7422070949918138;0.7933318546769852;-0.0667660973394088;-0.049760968802183204;-0.12935912950914363
103;0.3177559066640521;Keon Ellis;;74;1679.8;473.6;108.6172;188.7;105.82;104.33999999999999;51.8;55.5;0.44;364.08;0.81;54.76;-0.26015667714071705;0.5723115826130402;-0.2354982798980676;-0.2412106434107399;2.032614760132706;0.8414149026913543;0.2890644615369867;-0.4286141138106529;0.2898771672625599
104;0.3170349930412392;Isaiah Stewart;;66;1478.3999999999999;455.40000000000003;19.9584;370.92;102.3;24.419999999999998;104.94000000000001;64.67999999999999;0.59;314.82;0.73;84.48;-0.2968888609867265;-0.7637186277784396;-0.26137710895986455;0.7443224274300906;-0.5795782641342677;2.628221316316233;0.13908629209321682;1.1616802404213762;0.08156752296953451
105;0.31623663819443715;Cameron Johnson;Unrestricted Free Agent, New Contract, New Team;58;1838.6;951.1999999999999;171.6916;241.28;121.80000000000001;52.2;23.779999999999998;71.34;0.48;679.76;0.88;145;0.7037604110380814;1.5228015949109321;-0.11801427750956876;0.043167190333145915;0.32841375556213553;-0.10074384231747294;0.030278600535971756;0.17150499241192488;0.26496131878478446
106;0.31164516497211675;Scotty Pippen Jr.;New Contract, New Team;72;1821.6000000000001;878.4;101.25359999999999;252;354.96;99.35999999999999;34.56;144;0.48;654.48;0.73;212.4;0.5568316756540436;0.4613469399916793;1.5961640702315048;0.10114608682866616;1.8698429725845385;0.26172836579084835;-1.1568035118588351;0.16160550787928435;-1.0470556223526788
107;0.3112262432805776;Jalen Brunson;Player Option, New Contract;69;2373.6;1745.7;159.0381;194.57999999999998;469.89;59.339999999999996;10.35;174.57;0.49;1219.23;0.83;465.75;2.307261513546573;1.3321216142751848;2.4411225429793246;-0.209408786004615;0.5617853545769776;-0.5523209995433311;-1.656240618601324;0.7816841151666664;-2.204968546870258
108;0.3075225810533997;Darius Garland;;53;1616.5;1081.1999999999998;153.48800000000003;150.51999999999998;357.22;71.55000000000001;6.890000000000001;133.03;0.46;824.6800000000001;0.87;186.03;0.9661331527952919;1.2484852322048918;1.6127794547995906;-0.4477063773845238;0.9608703999510991;-0.6686618010326439;-0.9775812331226525;-0.3114078872312528;0.3847922885007965
109;0.30348700520108746;Draymond Green;Player Option;69;1973.4;593.4;80.2125;405.03000000000003;414;96.6;56.58;176.64000000000001;0.41;525.78;0.7;127.65;-0.01837010435214913;0.1442713055383803;2.030222612222554;0.9288056512605194;1.7796321023771209;1.0021400561939309;-1.6900592254366844;-1.0930212898239708;-0.3522380611699137
110;0.2997939997498089;Kevin Huerter;New Team;63;1726.1999999999998;793.8;165.66479999999999;200.34;204.12;64.89;20.16;64.89;0.45;656.46;0.74;45.36;0.3860875683258895;1.431981655187099;0.4871974294129101;-0.17825594609657416;0.743187647928851;-0.22246456526293876;0.13565541893600627;-0.4819907474360343;0.3967475367530716
